video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=0WZhIDzTFK8&pp=ygUoc3RhcmJ1Y2tzIHByaWNlcyBpbmNyZWFzZSBpbiBsb3MgYW5nZWxlcw%3D%3D,/@KTLA5,KTLA 5,Los Angeles approves relocation costs for large rent increases,38K,11 months,The Los Angeles City Council on Tuesday took action against landlords who impose large rent increases on their tenants. Megan ...,2024-01-26 19:44:11.201266
/watch?v=qBvS7xgdqzI&pp=ygUoc3RhcmJ1Y2tzIHByaWNlcyBpbmNyZWFzZSBpbiBsb3MgYW5nZWxlcw%3D%3D,/@InformOverload,InformOverload,Dumb Starbucks Opens Up In Los Angeles,16K,9 years,A new cafe going by the name Dumb Starbucks Coffee located in Los Angeles was using the identical logo as the worldwide ...,2024-01-26 19:44:11.204508
/watch?v=1haqxpdCy1I&pp=ygUoc3RhcmJ1Y2tzIHByaWNlcyBpbmNyZWFzZSBpbiBsb3MgYW5nZWxlcw%3D%3D,/@MrDragonsfire,MrDragonsfire,starbucks coffee price increase,64,10 years,http://www.thexmworld.com SELLERS MARKETPLACE. SELLERS SIGN UP FOR FREE AND GET UNLIMITED FREE PRODUCT ...,2024-01-26 19:44:11.207471
/shorts/HpVGTr4iq7M,/@YourRichBFF,Your Rich BFF,How to get Starbucks 50% OFF!! #money #starbucks #coffee #icedtea #coupon #discount,19K,1 year,Some people are paying full price for Starbucks not you though you follow me Vivian your Rich BFF and your favorite Wall Street ...,2024-01-26 19:44:11.210848
/watch?v=nMYNr0rYnyI&pp=ygUoc3RhcmJ1Y2tzIHByaWNlcyBpbmNyZWFzZSBpbiBsb3MgYW5nZWxlcw%3D%3D,/@JEFFFM,JEFF FM,First LIVE show with Teenage Heartthrob Ethan Klein from the H3Podcast  | JEFF FM | Ep. 123,267K,Streamed 20 hours,Get 20% Off and Free Shipping with the code JEFFSBARBERSHOP at https://Manscaped.com. That's 20% off with free shipping at ...,2024-01-26 19:44:11.213864
/watch?v=ldSZQLFLNZo&pp=ygUoc3RhcmJ1Y2tzIHByaWNlcyBpbmNyZWFzZSBpbiBsb3MgYW5nZWxlcw%3D%3D,/@abc15,ABC15 Arizona,Higher Starbucks prices go into effect Tuesday,84,9 years,Prices are going up by an average of 1% across US stores.,2024-01-26 19:44:19.607264
/watch?v=30TO_qaAqK0&pp=ygUoc3RhcmJ1Y2tzIHByaWNlcyBpbmNyZWFzZSBpbiBsb3MgYW5nZWxlcw%3D%3D,/@mimirb88,Michelle Lewis,Starbucks Price Changes,991,14 years,This is my final package of the semester on Starbucks lowering the prices of their popular coffees and raising the prices of their ...,2024-01-26 19:44:19.612928
/watch?v=Fs-_WaJTcbk&pp=ygUoc3RhcmJ1Y2tzIHByaWNlcyBpbmNyZWFzZSBpbiBsb3MgYW5nZWxlcw%3D%3D,/@NewsBreaker,NewsBreaker,Starbucks Will Cost up to $0.20 Higher as Coffee Giant Raises Prices on Popular Drinks,156,8 years,"The company said the increase is to make up for the increase in operating expenditures like rent, labor, and equipment.",2024-01-26 19:44:19.618265
/watch?v=3DEg3ThrH7U&pp=ygUoc3RhcmJ1Y2tzIHByaWNlcyBpbmNyZWFzZSBpbiBsb3MgYW5nZWxlcw%3D%3D,/@CBSDFW,CBS TEXAS,Starbucks Raising Price Of Brewed Coffee In Most U.S. Stores,232,5 years,"It doesn't matter if you get the tall, grande, or venti -- your Starbucks habit just got a little more expensive. Matt Yurus reports.",2024-01-26 19:44:19.622896
/watch?v=JzrWUPuiaCY&pp=ygUoc3RhcmJ1Y2tzIHByaWNlcyBpbmNyZWFzZSBpbiBsb3MgYW5nZWxlcw%3D%3D,/@CBSNews,CBS News,Watch: Starbucks customer confronts employee for stealing credit card info,36M,8 years,A woman figures out a Starbucks employee stole her credit card information and then confronts her at the drive thru. CBSN's ...,2024-01-26 19:44:19.639770
